"","batch_number","extraction_number","sample_number","Extraction_repeated","Tech_rep_lost","species_field","species_confirmed","Latitude","Longitude","Elevation_GPS_notebook","Elevation_map","family","leaf_age","biological_rep","GoPro.file","site","site_revised","date","whole_leaf_FW","tech_rep_1_FW","tech_rep_2_FW","tech_rep_3_FW","tech_rep_4_FW_fixed","tech_rep_4_DW_fixed","whole_leaf_area.cm2.","freshSLA","tech_rep_1_leaf_area","tech_rep_2_leaf_area","tech_rep_3_leaf_area","tech_rep_4_leaf_area","technical_rep_used_for_ovalbumin_calculation","ovalbumin_added.5uL_of_0.5mg.mL_per_cm2.","random_number","notes.1","notes.2","I.don.t.know.why.these.numbers.are.here","Solvent.Wash.Date","Solvent.Wash.Page.Ref","Phenol.Extraction.Date","Phenol.Extraction.Page.Ref","Resuspension.and.Alkylation.Date","Resuspension.and.Alkylation.Page.Ref","Lavapep.Date","Lavapep.Page.Ref","Lavapep.File.Name","Extraction.Notes","Protein.Extract.Concentration..protein.assay..ug.uL.","Protein.Assay..CV","Protein.Extract.Volume..uL.","Extract.Protein.Amount..ug..protein.assay.","Protein.per.FW..mg.g..protein.assay.","Protein.per.DW..mg.g..protein.assay.","Protein.per.Leaf.Area..mg.cm2..protein.assay.","X.Ovalbumin.of.Total.Protein","Digest.Protein.Amount..ug..","Amount.Protease.in.Digest..ug.","uL.Protein.Extract.per.Digest","Date.of.ASPEX","ASPEX.Batch","tech_rep_4_FW_ERROR","tech_rep_4_DW_ERROR","LMA..g.m2.","SLA..cm2.g.","LWC....","leaf_FW_check","LWC","LMA"
"117",12,"12-37","T050",0,NA,"eucdel","eucdel",-42.91482,147.24619,727,732,"Myrtaceae","mid",1,"206","Tasmania_MW","TAS_The_Springs",150302,2.31976,"0.08340","0.08424","0.09088","1.12198","0.74126",43.202,18.62347829,1.553198089,1.568841811,1.692501707,20.89517017,1,7.8,0.824799956,NA,NA,NA,"4/01/2016","Katy 1, p.113","6/01/2016","Katy 1, p.115","14/01/2016","Katy 1, p.118","20/01/2016","Katy 1, p.121",NA,NA,2.9,7.311553409,750,2143.356651,25.69972004,NA,1.379963487,NA,50,1,17.5,"20/05/2016","8","1.12198","0.4206","354.7518368","28.18871944","33.93286868",0.93926,33.93286868,354.7518368
"212",10,"10-17","KG101",0,NA,"anghis","angcos",-33.67856,151.14825,NA,NA,"Myrtaceae","old",1,"85","Kuringai_MT_bottom","NSW_Kuringai_bottom",140612,1.058,"0.05370","0.06244","0.05282","0.86568","0.52494",23.249,21.97448015,1.180029584,1.372086541,1.160692042,19.02286798,2,6.9,0.472700077,NA,NA,NA,"7/12/2015","Katy 1, p.109","8/12/2015","Katy 1, p.110","13/01/2016","Katy 1, p.117","19/01/2016","Katy 1, p.119",NA,NA,2.6,3.787553734,750,1981.339312,31.73189161,NA,1.444033779,NA,50,1,18.9,"17/05/2016","5","0.86568","0.52494","275.9520807","36.23817575","39.36096479",0.02336,39.36096479,275.9520807
"225",13,"13-18","T337",0,NA,"eucglo","eucglo",-42.12299,148.34204,NA,NA,"Myrtaceae","old",2,"259","Tasmania_FY","TAS_Freycinet",150311,1.21212,"0.07044","0.07196","0.05404","0.89292","0.53736",17.434,14.38306438,1.013143055,1.035005313,0.777260799,12.84292585,1,5.1,0.90901549,NA,"The gopro file numbers might be swapped between eucamy and eucglo because the species were identified as euc 1 & euc 2 in the notebook for gopro pics (SVS small black notebook)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,4.714698577,750,2042.970843,NA,NA,NA,NA,50,1,18.4,"31/05/2016","14","0.89292","0.6165","418.40933","23.90004066","39.81991668",0.12276,39.81991668,418.40933
"235",19,"19-02","T256",0,NA,"acadea","acadea",-42.38633,147.05022,NA,NA,"Fabaceae","new",2,"290","Tasmania_BO","TAS_Bothwell",150309,0.4592,"0.08100","0.07718","0.06792","0.20792","0.12454",21.776,47.42160279,3.841149826,3.659999303,3.220875261,9.859899652,1,19.2,0.515191661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,8.464941913,750,5065.017583,NA,NA,NA,NA,50,1,7.4,NA,NA,"0.20792","0.0988","126.3096019","79.17054482","40.10196229",0.02518,40.10196229,126.3096019
"240",12,"12-15","T333",0,NA,"eucglo","eucglo",-42.12299,148.34204,NA,NA,"Myrtaceae","old",1,"258","Tasmania_FY","TAS_Freycinet",150311,1.8784,"0.08792","0.07152","0.08242","1.47048","0.87786",26.605,14.16364991,1.245268101,1.012984242,1.167368026,20.82736393,1,6.2,0.770219889,NA,"The gopro file numbers might be swapped between eucamy and eucglo because the species were identified as euc 1 & euc 2 in the notebook for gopro pics (SVS small black notebook)",NA,"4/01/2016","Katy 1, p.113","6/01/2016","Katy 1, p.115","14/01/2016","Katy 1, p.118","20/01/2016","Katy 1, p.121",NA,NA,2.2,9.019039927,750,1673.738616,19.03706342,NA,1.34407893,NA,50,1,22.4,"17/05/2016","5","1.47048","0.36958","421.4935712","23.72515427","40.30112616",0.16606,40.30112616,421.4935712
"250",18,"18-03","T253",0,NA,"acadea","acadea",-42.38633,147.05022,NA,NA,"Fabaceae","new",1,"289","Tasmania_BO","TAS_Bothwell",150309,1.0197,"0.06708","0.05264","0.06700","0.76508","0.45474",57.054,55.95175051,3.753243425,2.945300147,3.748767284,42.80756528,1,18.8,0.369332557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,6.049091839,750,5306.424489,NA,NA,NA,NA,50,1,7.1,NA,NA,"0.76508","0.27626","106.2288866","94.13635327","40.56307837",0.0679,40.56307837,106.2288866
"275",16,"16-07","T254",0,NA,"acadea","acadea",-42.38633,147.05022,NA,NA,"Fabaceae","mid",1,"289","Tasmania_BO","TAS_Bothwell",150309,0.74916,"0.08932","0.06650","0.07232","0.46148","0.26892",40.833,54.50504565,4.868390678,3.624585536,3.941804901,25.15298847,1,24.3,0.020858841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,6.686079714,750,2368.055068,NA,NA,NA,NA,50,1,15.8,NA,NA,"0.46148","0.45474","106.9137372","93.53334994","41.72661871",0.05954,41.72661871,106.9137372
"286",7,"DP037","T221",0,NA,"eucten","eucten",-42.38268,147.06002,NA,NA,"Myrtaceae","new",2,"282","Tasmania_BO","TAS_Bothwell",150308,1.02894,"0.07066","0.06944","0.08974","0.75990","0.44066",17.423,16.93296013,1.196482963,1.175824752,1.519563842,12.86735641,1,6,0.142725677,NA,NA,NA,"14/09/2015","Siobhan 1, p.92","15/09/2015","Siobhan 1, p.93","13/10/2015","Siobhan 1, p.103","16/11/2015","Katy 1, p.106",NA,NA,4.9,2.669049575,750,3675.231328,52.01289737,NA,3.071695495,NA,50,1,10.2,"16/05/2016","2","0.75990","0.12996","342.463507","29.20019154","42.01079089",0.0392,42.01079089,342.463507
"295",30,"30-22","T046",0,NA,"orirev","orirev",-42.89581,147.23627,1249,1264,"Proteaceae","mid",3,"none","Tasmania_MW","TAS_Mt_Wellington",150302,0.60966,"0.07002","0.05896","0.06800","0.34644","0.20012",8.864,14.53925139,1.018038382,0.857234262,0.988669094,5.03697825,1,5.1,0.865543868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.34644","0.13962","397.3016957","25.16978938","42.2353077",0.06624,42.2353077,397.3016957
"311",10,"10-07","T332",0,NA,"eucglo","eucglo",-42.12299,148.34204,NA,NA,"Myrtaceae","mid",1,"258","Tasmania_FY","TAS_Freycinet",150311,0.9035,"0.09270","0.06392","0.05672","0.64214","0.36958",13.185,14.59324848,1.352794134,0.932800443,0.827729054,9.370908578,1,6.8,0.427835452,NA,"The gopro file numbers might be swapped between eucamy and eucglo because the species were identified as euc 1 & euc 2 in the notebook for gopro pics (SVS small black notebook)",NA,"7/12/2015","Katy 1, p.109","8/12/2015","Katy 1, p.110","13/01/2016","Katy 1, p.117","19/01/2016","Katy 1, p.119",NA,NA,3.7,9.466110891,750,2785.929124,30.05317285,NA,2.059388826,NA,50,1,13.5,"17/05/2016","4","0.64214","0.50504","394.3907861","25.35556193","42.44557262",0.04802,42.44557262,394.3907861
