"","biological_rep","species_confirmed","CV"
"1",1,"aca_sp",0.0960439174566451
"2",1,"acaane",0.1364366814218
"3",1,"acabin",0.173328169328651
"4",1,"acacel",0.244885628571942
"5",1,"acacol",0.0356275584882093
"6",1,"acacra",0.322549589140375
"7",1,"acadea",0.164436761293786
"8",1,"acadec",0.0655812765404933
"9",1,"acafal",0.180886627558867
"10",1,"acafla",0.0876403624166495
"11",1,"acagen",0.0980601102603772
"12",1,"acahem",0.106293668775091
"13",1,"acahol",0.127748306243318
"14",1,"acajul",0.0547497461835549
"15",1,"acalon",0.158538470942272
"16",1,"acaman",0.027352256710665
"17",1,"acamel",0.148708682198026
"18",1,"acamuc",0.238285421308084
"19",1,"acaosw",0.274120837974596
"20",1,"acaric",0.152623056286557
"21",1,"acasau",0.168189996538405
"22",1,"acashi",0.0284075185196025
"23",1,"acater",0.192929200377646
"24",1,"angcos",0.207518868542781
"25",1,"conhoo",NA
"26",1,"corcit",0.0832291555434592
"27",1,"corcla",0.133117718841131
"28",1,"corexi",0.0467965575080382
"29",1,"corgum",0.0233563783913841
"30",1,"corint",0.142011636636098
"31",1,"corpoc",0.0363375790266801
"32",1,"corter",0.135760350225469
"33",1,"cortes",0.107357845776995
"34",1,"euc_sp",0.195055531465587
"35",1,"eucamy",0.14976840152777
"36",1,"eucatr",0.0970964327743905
"37",1,"euccam",0.37159363440158
"38",1,"euccoc",0.161352024849987
"39",1,"euccre",0.388921259780646
"40",1,"eucdel",0.197032482565344
"41",1,"eucdis",0.064769661914908
"42",1,"eucdum",0.119712718370067
"43",1,"eucfib",0.148403571606736
"44",1,"eucgil",0.0949488874307488
"45",1,"eucglo",0.147833459853201
"46",1,"euchae",0.0143614283763713
"47",1,"eucmed",0.054473392216088
"48",1,"eucobl",0.0395652371642822
"49",1,"eucpla",0.261314840498155
"50",1,"eucpru",0.0861933575683718
"51",1,"eucpun",0.275387825065408
"52",1,"eucrub",0.3059635564383
"53",1,"eucsoc",0.175317828398209
"54",1,"eucspa",0.18907997660982
"55",1,"eucten",0.154233720494563
"56",1,"eucter",0.0909752650109402
"57",1,"grepte",NA
"58",1,"melpal",0.0469452747003536
"59",2,"aca_sp",0.068432692356401
"60",2,"acaane",0.025808287423972
"61",2,"acabin",0.156431558279446
"62",2,"acacel",0.120003370565123
"63",2,"acacol",0.0127349175997812
"64",2,"acacra",0.107851294180802
"65",2,"acadea",0.222917691807073
"66",2,"acadec",0.0454211990835168
"67",2,"acafal",0.255414245043352
"68",2,"acafla",0.119926565788799
"69",2,"acagen",0.0514111578138395
"70",2,"acahem",0.110320088575258
"71",2,"acahol",0.0327900258184391
"72",2,"acaimp",0.239888195502252
"73",2,"acajul",0.119423027832002
"74",2,"acalon",0.158934959663015
"75",2,"acaman",0.0716224070516066
"76",2,"acamel",0.214519795611835
"77",2,"acamuc",0.239148750223198
"78",2,"acaosw",0.118421457898214
"79",2,"acaric",0.203177784414571
"80",2,"acasau",0.123098505948297
"81",2,"acashi",0.0276410102857317
"82",2,"acater",0.351436968903804
"83",2,"angcos",0.173984039431051
"84",2,"conhoo",NA
"85",2,"corcit",0.0162616867586785
"86",2,"corcla",0.0664728258597606
"87",2,"corexi",0.192959560087032
"88",2,"corgum",0.0106764291416569
"89",2,"corint",0.101052023628542
"90",2,"corpoc",0.0694034797686077
"91",2,"corter",0.0755417986145419
"92",2,"cortes",0.0815985780460182
"93",2,"euc_sp",0.174695682015128
"94",2,"eucamy",0.107651785737466
"95",2,"eucatr",0.0660199391992891
"96",2,"euccam",0.285317397234084
"97",2,"euccoc",0.178475741984976
"98",2,"euccre",0.210206175914235
"99",2,"eucdel",0.191974042565863
"100",2,"eucdis",0.0927543651574221
"101",2,"eucdum",0.18844295887206
"102",2,"eucfib",0.246108556966401
"103",2,"eucgil",0.270059433948333
"104",2,"eucglo",0.752718821880391
"105",2,"euchae",0.0552335420267564
"106",2,"eucmed",0.0870936391728701
"107",2,"eucobl",0.0882586921889267
"108",2,"eucpla",0.12175744971882
"109",2,"eucpru",0.0326329049971657
"110",2,"eucpun",0.209599519619892
"111",2,"eucrub",0.249879977153723
"112",2,"eucsoc",0.149287762506391
"113",2,"eucspa",0.12095429564057
"114",2,"eucten",0.146120292580203
"115",2,"eucter",0.0270710859083877
"116",2,"grepte",NA
"117",3,"aca_sp",0.175177342267089
"118",3,"acaane",0.0515488190590021
"119",3,"acabin",0.130168127216693
"120",3,"acacel",0.0826691920452785
"121",3,"acacol",0.100082254957378
"122",3,"acacra",0.104519960328396
"123",3,"acadea",0.125487613317471
"124",3,"acadec",0.151470831973629
"125",3,"acafal",0.217439343482573
"126",3,"acafla",0.0322899795974502
"127",3,"acagen",0.0622749655204146
"128",3,"acahem",0.0353972684653097
"129",3,"acahol",0.0662164877490995
"130",3,"acaimp",0.307134504973408
"131",3,"acajul",0.145376005221055
"132",3,"acalon",0.209937082418245
"133",3,"acaman",0.10657398558471
"134",3,"acamel",0.178829424101385
"135",3,"acamuc",0.295666604113458
"136",3,"acaosw",0.142761850110068
"137",3,"acaric",0.198255158025331
"138",3,"acasau",0.117051145621407
"139",3,"acashi",0.327862401497378
"140",3,"acater",0.127909535897705
"141",3,"angcos",0.206393417886211
"142",3,"conhoo",NA
"143",3,"corcit",0.120588010145954
"144",3,"corcla",0.102236386332564
"145",3,"corexi",0.145092848573248
"146",3,"corgum",0.0299721962911985
"147",3,"corint",0.167306694932253
"148",3,"corpoc",0.0539825246000782
"149",3,"corter",0.0513814701321781
"150",3,"cortes",0.0895964294968996
"151",3,"euc_sp",0.0768512717146526
"152",3,"eucamy",0.0796061949411028
"153",3,"eucatr",0.0210800232815506
