V1,V2,V3,V4,V5,V6,V7,mean
amino_acid_metabolism,degradation,aromatic_aa,tryptophan,NA,NA,NA,0.528657033679718
amino_acid_metabolism,degradation,aromatic_aa,tyrosine,NA,NA,NA,9.86068405023683
amino_acid_metabolism,degradation,aspartate_family,asparagine,L_asparaginase,NA,NA,0.857154627872458
amino_acid_metabolism,degradation,aspartate_family,methionine,NA,NA,NA,22.1394571787709
amino_acid_metabolism,degradation,branched_chain_group,isoleucine,NA,NA,NA,3.54882357493176
amino_acid_metabolism,degradation,branched_chain_group,leucine,NA,NA,NA,5.60410430503631
amino_acid_metabolism,degradation,branched_chain_group,shared,NA,NA,NA,12.4487906258692
amino_acid_metabolism,degradation,branched_chain_group,valine,NA,NA,NA,2.39691613239811
amino_acid_metabolism,degradation,glutamate_family,arginine,NA,NA,NA,1.97620904431811
amino_acid_metabolism,degradation,glutamate_family,proline,NA,NA,NA,2.65235344166705
amino_acid_metabolism,degradation,serine_glycine_cysteine_group,cysteine,NA,NA,NA,2.82819372241596
amino_acid_metabolism,degradation,serine_glycine_cysteine_group,glycine,NA,NA,NA,160.067853765596
amino_acid_metabolism,misc,NA,NA,NA,NA,NA,4.48103504547123
amino_acid_metabolism,synthesis,aromatic_aa,chorismate,3_dehydroquinate_synthase,NA,NA,1.20001011628391
amino_acid_metabolism,synthesis,aromatic_aa,chorismate,3_deoxy_D_arabino_heptulosonate_7_phosphate_synthase,NA,NA,0.973850458495834
amino_acid_metabolism,synthesis,aromatic_aa,chorismate,5_enolpyruvylshikimate_3_phosphate_synthase,NA,NA,1.81687406835006
amino_acid_metabolism,synthesis,aromatic_aa,chorismate,dehydroquinate/shikimate_dehydrogenase,NA,NA,7.03451775827971
amino_acid_metabolism,synthesis,aromatic_aa,chorismate,shikimate_kinase,NA,NA,0.529411958997475
amino_acid_metabolism,synthesis,aromatic_aa,phenylalanine_and_tyrosine,NA,NA,NA,1.71858726634954
amino_acid_metabolism,synthesis,aromatic_aa,tryptophan,anthranilate_synthase,NA,NA,0.542420913664194
amino_acid_metabolism,synthesis,aromatic_aa,tryptophan,indole_3_glycerol_phosphate_synthase,NA,NA,2.62431960179454
amino_acid_metabolism,synthesis,aromatic_aa,tryptophan,tryptophan_synthase,NA,NA,1.50495591002901
amino_acid_metabolism,synthesis,aspartate_family,asparagine,asparagine_synthetase,NA,NA,1.44351155698404
amino_acid_metabolism,synthesis,aspartate_family,lysine,diaminopimelate_decarboxylase,NA,NA,2.54446308801987
amino_acid_metabolism,synthesis,aspartate_family,lysine,diaminopimelate_epimerase,NA,NA,0.702574613201895
amino_acid_metabolism,synthesis,aspartate_family,lysine,dihydrodipicolinate_reductase,NA,NA,0.249378006613118
amino_acid_metabolism,synthesis,aspartate_family,lysine,dihydrodipicolinate_synthase,NA,NA,1.37204249286038
amino_acid_metabolism,synthesis,aspartate_family,lysine,LL_diaminopimelic_acid_aminotransferase,NA,NA,5.05361195705053
amino_acid_metabolism,synthesis,aspartate_family,methionine,cystathionine_beta_lyase,NA,NA,0.277686444067772
amino_acid_metabolism,synthesis,aspartate_family,methionine,cystathionine_gamma_synthase,NA,NA,0.0902292494584926
amino_acid_metabolism,synthesis,aspartate_family,methionine,homocysteine_S_methyltransferase,NA,NA,6.01457415771785
amino_acid_metabolism,synthesis,aspartate_family,methionine,methionine_S_methyltransferase,NA,NA,1.92671324646883
amino_acid_metabolism,synthesis,aspartate_family,methionine,NA,NA,NA,69.9645481682359
amino_acid_metabolism,synthesis,aspartate_family,misc,homoserine,aspartate_semialdehyde_dehydrogenase,NA,1.23726344581037
amino_acid_metabolism,synthesis,aspartate_family,threonine,threonine_synthase,NA,NA,2.24950434401883
amino_acid_metabolism,synthesis,branched_chain_group,common,acetolactate_synthase,NA,NA,1.20462861499854
amino_acid_metabolism,synthesis,branched_chain_group,common,branched_chain_amino_acid_aminotransferase,NA,NA,0.814226924175141
amino_acid_metabolism,synthesis,branched_chain_group,common,ketol_acid_reductoisomerase,NA,NA,11.2370760354364
amino_acid_metabolism,synthesis,branched_chain_group,leucine_specific,2_isopropylmalate_synthase,NA,NA,4.3306568481182
amino_acid_metabolism,synthesis,branched_chain_group,leucine_specific,3_isopropylmalate_dehydrogenase,NA,NA,2.96986221068786
amino_acid_metabolism,synthesis,central_amino_acid_metabolism,alanine,alanine_aminotransferase,NA,NA,0.548167751356167
amino_acid_metabolism,synthesis,central_amino_acid_metabolism,alanine,alanine_glyoxylate_aminotransferase,NA,NA,0.779270656230425
amino_acid_metabolism,synthesis,central_amino_acid_metabolism,aspartate,aspartate_aminotransferase,NA,NA,39.7727107980804
amino_acid_metabolism,synthesis,central_amino_acid_metabolism,GABA,GABA_transaminase,NA,NA,4.61347232846473
amino_acid_metabolism,synthesis,central_amino_acid_metabolism,GABA,gamma_hydroxybutyrate_DH,NA,NA,5.3894034705708
amino_acid_metabolism,synthesis,central_amino_acid_metabolism,GABA,Glutamate_decarboxylase,NA,NA,8.94832915526968
amino_acid_metabolism,synthesis,glutamate_family,arginine,acetylglutamate_kinase,NA,NA,0.884403043581801
amino_acid_metabolism,synthesis,glutamate_family,arginine,acetylornithine_aminotransferase,NA,NA,0.328473853943641
amino_acid_metabolism,synthesis,glutamate_family,arginine,argininosuccinate_lyase,NA,NA,0.348510810688909
amino_acid_metabolism,synthesis,glutamate_family,arginine,arginosuccinate_synthase,NA,NA,2.09599151569278
amino_acid_metabolism,synthesis,glutamate_family,arginine,N_Acetylglutamate_5_P_reductase,NA,NA,0.99266314779625
amino_acid_metabolism,synthesis,glutamate_family,arginine,ornithine_carbamoyltransferase,NA,NA,2.0467427787988
amino_acid_metabolism,synthesis,histidine,ATP_phosphoribosyl_transferase,NA,NA,NA,0.721446210850558
amino_acid_metabolism,synthesis,histidine,histidinol_dehydrogenase,NA,NA,NA,0.855492091418865
amino_acid_metabolism,synthesis,histidine,N_5_phosphoribosyl_formimino_5_aminoimidazole_4_carboxamide_ribonucleotide_isomerase,NA,NA,NA,1.12438902636477
amino_acid_metabolism,synthesis,serine_glycine_cysteine_group,cysteine,OASTL,NA,NA,30.1476385323883
amino_acid_metabolism,synthesis,serine_glycine_cysteine_group,cysteine,NA,NA,NA,2.05368442799769
amino_acid_metabolism,synthesis,serine_glycine_cysteine_group,serine,phosphoglycerate_dehydrogenase,NA,NA,13.1752149657463
amino_acid_metabolism,synthesis,serine_glycine_cysteine_group,serine,phosphoserine_aminotransferase,NA,NA,1.83409916621101
amino_acid_metabolism,NA,NA,NA,NA,NA,NA,5.4943682386815
Biodegradation_of_Xenobiotics,hydroxyacylglutathione_hydrolase,NA,NA,NA,NA,NA,0.685203157656415
Biodegradation_of_Xenobiotics,lactoylglutathione_lyase,NA,NA,NA,NA,NA,66.0542741728613
C1_metabolism,formate_dehydrogenase,NA,NA,NA,NA,NA,7.33950037572878
C1_metabolism,formate_tetrahydrofolate_ligase,NA,NA,NA,NA,NA,9.86466513463983
C1_metabolism,Methylenetetrahydrofolate_dehydrogenase_&_Methenyltetrahydrofolate_cyclohydrolase,NA,NA,NA,NA,NA,1.13960077108786
C1_metabolism,methylenetetrahydrofolate_reductase,NA,NA,NA,NA,NA,4.68812751265495
C1_metabolism,tetrahydrofolate_synthase,NA,NA,NA,NA,NA,1.09894942809877
C1_metabolism,NA,NA,NA,NA,NA,NA,11.4132860544673
cell,cell_death,plants,NA,NA,NA,NA,0.515858431000052
cell,cycle,peptidylprolyl_isomerase,NA,NA,NA,NA,63.5269362603818
cell,division,plastid,NA,NA,NA,NA,1.35590374192357
cell,division,NA,NA,NA,NA,NA,53.7521812140421
cell,organisation,cytoskeleton,actin,Actin,NA,NA,54.5507568028417
cell,organisation,cytoskeleton,actin,actin_binding,NA,NA,4.25312574882589
cell,organisation,cytoskeleton,mikrotubuli,NA,NA,NA,49.251314492381
cell,organisation,NA,NA,NA,NA,NA,134.169078610463
cell,vesicle_transport,NA,NA,NA,NA,NA,52.3327963017451
cell_wall,cell_wall_proteins,RGP,NA,NA,NA,NA,13.8563651643148
cell_wall,cellulose_synthesis,cellulose_synthase,NA,NA,NA,NA,22.0402006838745
cell_wall,degradation,cellulases_and_beta__14_glucanases,NA,NA,NA,NA,0.437196214270978
cell_wall,degradation,mannan_xylose_arabinose_fucose,NA,NA,NA,NA,20.1264939961432
cell_wall,degradation,pectate_lyases_and_polygalacturonases,NA,NA,NA,NA,1.02516498021053
cell_wall,pectin*esterases,PME,NA,NA,NA,NA,2.03062125027811
cell_wall,precursor_synthesis,AXS,NA,NA,NA,NA,0.519043386937471
cell_wall,precursor_synthesis,GMD,NA,NA,NA,NA,0.337570490645341
cell_wall,precursor_synthesis,KDO_pathway,CMP_KDO_Synthetase,NA,NA,NA,0.589767583599766
cell_wall,precursor_synthesis,KDO_pathway,KDO_8_Phosphate_Synthase,NA,NA,NA,0.856984943257068
cell_wall,precursor_synthesis,NDP_sugar_pyrophosphorylase,GDP_mannose,NA,NA,NA,1.27007030827494
