"","site_id","tavg_recent_month","tmax_recent_month","prec_recent_month","VP_recent_month","Latitude","Longitude","site_revised","date"
"1",1,21.3471666574478,30.4413333257039,0,6.46633331775665,-18.71986,138.52217,"QLD_Lawn_Hill",2015-08-26
"2",2,21.6301665941874,30.5539999643962,0,6.11533335844676,-19.04745,138.8575,"QLD_Lawn_Hill",2015-08-25
"3",3,21.5191665093104,28.8293330510457,0.200000002980232,8.27366665204366,-31.0831,141.71401,"NSW_Fowlers_Gap",2015-04-09
"4",4,22.3021666844686,29.7073334376017,0,8.1560000260671,-30.81876,141.7987,"NSW_Fowlers_Gap",2015-04-09
"5",5,22.6178333282471,30.0240000406901,0,8.21699995994568,-30.7094,141.87689,"NSW_Fowlers_Gap",2015-04-09
"6",6,23.3351667086283,31.3550000508626,0,9.46933334668477,-18.16105,142.21069,"QLD_Croydon",2015-08-23
"7",6,23.3351667086283,31.3550000508626,0,9.46933334668477,-18.16105,142.21069,"QLD_Croydon",2015-08-22
"8",7,23.3323333422343,31.3233333587646,0,9.50100000699361,-18.15871,142.21484,"QLD_Croydon",2015-08-22
"9",8,21.227499906222,28.5819998423258,0.300000011920929,8.26133327484131,-31.29462,142.25054,"NSW_Mutawintji",2015-04-10
"10",9,23.149166615804,31.1629998524984,0,9.33099996248881,-18.18903,142.26241,"QLD_Croydon",2015-08-23
"11",10,23.1443333307902,31.1323332468669,0,9.36733330090841,-18.21837,142.27066,"QLD_Croydon",2015-08-22
"12",11,21.1523333628972,28.4706666310628,0.300000011920929,8.13066670099894,-31.29606,142.27874,"NSW_Mutawintji",2015-04-10
"13",12,17.0493333419164,22.6610000610352,2.10000000149012,13.6506665547689,-18.32071,145.41898,"QLD_Princess_Hill",2015-08-19
"14",13,16.968833398819,22.3890001296997,3.30000002682209,13.9886667569478,-18.32728,145.45414,"QLD_Princess_Hill",2015-08-18
"15",14,16.910999973615,22.2730000178019,3.2000000551343,13.5006667772929,-18.31625,145.46642,"QLD_Princess_Hill",2015-08-18
"16",15,17.154000043869,22.594000116984,3.8999999910593,13.9016667048136,-18.29731,145.48898,"QLD_Princess_Hill",2015-08-19
"17",16,17.154000043869,22.594000116984,3.8999999910593,13.9016667048136,-18.29787,145.48911,"QLD_Princess_Hill",2015-08-19
"18",17,17.1123333772024,22.6840001424154,2.79999996721745,13.7680000305176,-18.29734,145.48915,"QLD_Princess_Hill",2015-08-20
"19",17,17.1123333772024,22.6840001424154,2.79999996721745,13.7680000305176,-18.29734,145.48915,"QLD_Princess_Hill",2015-08-19
"20",18,17.9488333304723,23.5870000839233,3.19999998807907,14.5913333415985,-18.21169,145.52417,"QLD_Blencoe_Falls",2015-08-16
"21",19,16.2766667286555,21.2793334325155,6.30000004917383,14.2173332850138,-18.22401,145.52532,"QLD_Blencoe_Falls",2015-08-16
