site_id,tavg_recent,prec_recent,Latitude,Longitude,site_revised,date
1,27.16445204,18.45882357,-18.71986,138.52217,QLD_Lawn_Hill,26/08/2015
2,27.64256167,16.74375002,-19.04745,138.8575,QLD_Lawn_Hill,25/08/2015
3,19.52794518,22.4874999,-31.0831,141.71401,NSW_Fowlers_Gap,9/04/2015
4,20.15999996,17.54000019,-30.81876,141.7987,NSW_Fowlers_Gap,9/04/2015
5,20.4080959,17.01000009,-30.7094,141.87689,NSW_Fowlers_Gap,9/04/2015
6,27.86842466,19.29444427,-18.16105,142.21069,QLD_Croydon,22/08/2015
6,27.86842466,19.29444427,-18.16105,142.21069,QLD_Croydon,23/08/2015
7,27.86842466,21.7062498,-18.15871,142.21484,QLD_Croydon,22/08/2015
8,19.51904107,34.72727266,-31.29462,142.25054,NSW_Mutawintji,10/04/2015
9,27.71591786,35.41000028,-18.18903,142.26241,QLD_Croydon,23/08/2015
10,27.68346581,352.3000029,-18.21837,142.27066,QLD_Croydon,22/08/2015
11,19.77187671,350.799999,-31.29606,142.27874,NSW_Mutawintji,10/04/2015
12,21.55106852,363.0000002,-18.32071,145.41898,QLD_Princess_Hill,19/08/2015
13,21.51558902,399.299999,-18.32728,145.45414,QLD_Princess_Hill,18/08/2015
14,21.4259041,404.3000003,-18.31625,145.46642,QLD_Princess_Hill,18/08/2015
15,21.62941099,436.0000004,-18.29731,145.48898,QLD_Princess_Hill,19/08/2015
16,21.62941099,436.0000004,-18.29787,145.48911,QLD_Princess_Hill,19/08/2015
17,21.63290414,436.0000004,-18.29734,145.48915,QLD_Princess_Hill,19/08/2015
17,21.63290414,436.0000004,-18.29734,145.48915,QLD_Princess_Hill,20/08/2015
18,22.69452054,493.8999994,-18.21169,145.52417,QLD_Blencoe_Falls,16/08/2015
19,21.01765751,562.1999976,-18.22401,145.52532,QLD_Blencoe_Falls,16/08/2015
20,23.64089043,599.4000047,-18.23223,145.53238,QLD_Blencoe_Falls,16/08/2015
21,23.6462192,601.0000048,-18.229,145.53618,QLD_Blencoe_Falls,15/08/2015
22,21.02290409,563.9999975,-18.21239,145.54145,QLD_Blencoe_Falls,15/08/2015
23,22.44034244,2262.700004,-17.37241,145.74322,QLD_Bartlefrere,6/08/2015
24,22.44034244,2262.700004,-17.36894,145.74353,QLD_Bartlefrere,6/08/2015
25,22.44034244,2262.700004,-17.36688,145.75258,QLD_Bartlefrere,6/08/2015
26,23.06410956,2328.800004,-17.37655,145.75883,QLD_Bartlefrere,5/08/2015
27,23.06410956,2328.800004,-17.37895,145.76094,QLD_Bartlefrere,5/08/2015
28,23.06410956,2328.800004,-17.37878,145.7617,QLD_Bartlefrere,5/08/2015
29,23.06410956,2328.800004,-17.37886,145.76225,QLD_Bartlefrere,5/08/2015
30,24.06752055,1943.1,-17.96665,145.96806,QLD_Mt_Mackay,8/08/2015
31,24.39368489,1996.300006,-17.92181,146.01045,QLD_Mt_Mackay,12/08/2015
32,23.67372599,1872.099998,-17.92285,146.06817,QLD_Mission_Beach,12/08/2015
33,23.67450681,1872.299998,-17.91588,146.06968,QLD_Mission_Beach,11/08/2015
34,24.12769865,1187.399999,-18.37945,146.07626,QLD_Cardwell_N,10/08/2015
35,24.48268492,1189.299997,-18.43758,146.13636,QLD_Cardwell_S,9/08/2015
36,18.68945208,297.9999964,-32.96407,146.16016,NSW_Round_Hill,5/04/2015
37,18.68945208,297.9999964,-32.96381,146.16138,NSW_Round_Hill,5/04/2015
38,18.68945208,297.9999964,-32.96394,146.16149,NSW_Round_Hill,5/04/2015
39,18.82341096,294.9999994,-33.00208,146.16899,NSW_Round_Hill,6/04/2015
40,18.81230135,294.0000009,-33.03783,146.20221,NSW_Round_Hill,6/04/2015
41,10.92172604,1829.999995,-43.03746,146.27668,TAS_Red_Knoll,7/03/2015
42,8.363287685,1746.300002,-42.8358,146.37903,TAS_Frodshams_Pass,7/03/2015
43,10.01831507,1503.199998,-42.77492,146.39731,TAS_Frodshams_Pass,6/03/2015
44,10.01831507,1503.199998,-42.75833,146.40609,TAS_Frodshams_Pass,6/03/2015
44,10.01831507,1503.199998,-42.75833,146.40609,TAS_Frodshams_Pass,7/03/2015
45,10.53620548,487.100005,-42.38633,147.05022,TAS_Bothwell,9/03/2015
46,10.54290411,486.700005,-42.38635,147.05113,TAS_Bothwell,9/03/2015
46,10.54290411,486.700005,-42.38635,147.05113,TAS_Bothwell,8/03/2015
47,10.53620548,487.100005,-42.38724,147.05174,TAS_Bothwell,9/03/2015
48,10.53620548,487.100005,-42.38268,147.06002,TAS_Bothwell,8/03/2015
48,10.53620548,487.100005,-42.38268,147.06002,TAS_Bothwell,9/03/2015
49,5.560520546,1307.900003,-42.88515,147.22187,TAS_Mt_Wellington,3/03/2015
50,5.550260274,1308.000003,-42.88596,147.22224,TAS_Mt_Wellington,4/03/2015
50,5.550260274,1308.000003,-42.88596,147.22224,TAS_Mt_Wellington,3/03/2015
51,9.458287655,1132.799997,-42.89145,147.22834,TAS_Mt_Wellington,2/03/2015
52,9.458287655,1132.799997,-42.89581,147.23627,TAS_Mt_Wellington,2/03/2015
53,9.458287655,1132.799997,-42.88986,147.23655,TAS_Mt_Wellington,2/03/2015
54,9.458287655,1132.799997,-42.91482,147.24619,TAS_The_Springs,3/03/2015
54,9.458287655,1132.799997,-42.91482,147.24619,TAS_The_Springs,2/03/2015
55,12.76608219,623.9999976,-42.84638,147.43151,TAS_Mt_Canopus,12/03/2015
56,12.76608219,623.9999976,-42.84732,147.43592,TAS_Mt_Canopus,12/03/2015
57,13.2788904,797.6999972,-43.0403,147.94647,TAS_Tasman_Peninsula,12/03/2015
58,13.2788904,797.6999972,-43.04191,147.95053,TAS_Tasman_Peninsula,12/03/2015
59,12.44949315,630.5999997,-42.14309,148.29854,TAS_Freycinet,10/03/2015
60,14.03158901,548.399999,-42.1161,148.33585,TAS_Freycinet,11/03/2015
61,14.03158901,548.399999,-42.10667,148.33655,TAS_Freycinet,11/03/2015
62,14.03158901,548.399999,-42.12251,148.34189,TAS_Freycinet,11/03/2015
63,14.03158901,548.399999,-42.12299,148.34204,TAS_Freycinet,11/03/2015
64,14.03158901,548.399999,-42.12261,148.34306,TAS_Freycinet,11/03/2015
65,16.84456165,537.9000005,-33.045,150.68326,NSW_Yengo_S,19/06/2014
65,16.84456165,537.9000005,-33.045,150.68326,NSW_Yengo_S,20/06/2014
65,16.84456165,537.9000005,-33.045,150.68326,NSW_Yengo_S,23/06/2014
66,17.1809041,613.3999998,-32.78244,150.92318,NSW_Yengo_N,25/05/2014
66,17.1809041,613.3999998,-32.78244,150.92318,NSW_Yengo_N,7/06/2014
66,17.1809041,613.3999998,-32.78244,150.92318,NSW_Yengo_N,8/06/2014
66,17.1809041,613.3999998,-32.78244,150.92318,NSW_Yengo_N,20/04/2014
66,17.1809041,613.3999998,-32.78244,150.92318,NSW_Yengo_N,24/05/2014
66,17.1809041,613.3999998,-32.78244,150.92318,NSW_Yengo_N,19/04/2014
67,16.33820548,673.3000029,-32.7817,150.9291,NSW_Yengo_N,25/05/2014
67,16.33820548,673.3000029,-32.7817,150.9291,NSW_Yengo_N,20/04/2014
67,16.33820548,673.3000029,-32.7817,150.9291,NSW_Yengo_N,7/06/2014
67,16.33820548,673.3000029,-32.7817,150.9291,NSW_Yengo_N,8/06/2014
67,16.33820548,673.3000029,-32.7817,150.9291,NSW_Yengo_N,26/05/2014
67,16.33820548,673.3000029,-32.7817,150.9291,NSW_Yengo_N,9/06/2014
68,18.17730135,924.400002,-33.68188,151.14428,NSW_Kuringai_bottom,13/06/2014
