BINCODE,NAME,IDENTIFIER
_1.1.1_,'PS.lightreaction.photosystem II',
_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II',eucgr.e02381.1.p
_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II',eucgr.a01047.1.p
_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II',eucgr.d00322.1.p
_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II',eucgr.d00320.1.p
_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II',eucgr.f01077.1.p
_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II',eucgr.f04099.1.p
_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II',eucgr.i02677.1.p
_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II',eucgr.k02983.1.p
_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II',eucgr.g00777.1.p
_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II',eucgr.g03060.1.p
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',eucgr.h02106.1.p
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',eucgr.h01287.4.p
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',eucgr.l02492.1.p
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',eucgr.a02039.1.p
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',eucgr.d00854.1.p
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',eucgr.f03789.1.p
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',eucgr.f02746.1.p
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',eucgr.f00997.1.p
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',eucgr.f01447.2.p
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',eucgr.f03186.6.p
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',eucgr.f01822.1.p
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',eucgr.i01025.1.p
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',eucgr.i01025.2.p
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',eucgr.l03253.1.p
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',eucgr.k00947.1.p
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',eucgr.k01671.1.p
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',eucgr.k01424.1.p
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',eucgr.g02904.1.p
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',eucgr.l02948.1.p
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',tr|t1ql72|t1ql72_eucgl
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',tr|t1qke2|t1qke2_eucgl
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',tr|t1qkh5|t1qkh5_eucgl
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',tr|t1qkk1|t1qkk1_eucgl
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',tr|t1qlg8|t1qlg8_eucgl
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',tr|t1ql58|t1ql58_eucgl
_1.1.1.3_,'PS.lightreaction.photosystem II.biogenesis',eucgr.j00865.1.p
