funccatm3,funccatm3_rename,comment,funccatm4,funcatm4_rename,comment
photosystem II,photosystem_II,,photosystem II,photosystem_II,
photosystem I\.,photosystem_I,need \. To differentiate from photosystem II,photosystem I\.,photosystem_I,
LHC-II,LHC_II,,LHC-II complex,LHC_II,
LHC-I',LHC_I,need ' To differentiate from LHC.II,LHC-I complex,LHC_I,
lightreaction.cytochrome b6/f,cytochrome_b6f,,lightreaction.cytochrome b6/f,cytochrome_b6f,
other electron carrier,other_electron_carrier,,Cytb6/f to PS-I electron carriers,cytb6f_to_PSI_e_carriers,
,,,ferredoxin electron carrier,ferredoxin_e_carrier,
,,,linear electron flow,linear_e_flow,
,,,cyclic electron flow,cyclic_e_flow,
NADH DH,NADH_DH,,NADH dehydrogenase-like (NDH) complex,NADH_DH,
lightreaction.ATP synthase,ATP_synthase_chloroplastic,,photophosphorylation.ATP synthase,ATP_synthase_chloroplastic,
lightreaction,light_reactions,,photophosphorylation,light_reactions,
PS.photorespiration,photorespiration,,photorespiration,photorespiration,
rubisco large subunit,rubisco_large_subunit,,"ribulose-1,5-bisphosphat carboxylase/oxygenase dimer.large subunit",rubisco_large_subunit,
rubisco small subunit,rubisco_small_subunit,,"ribulose-1,5-bisphosphat carboxylase/oxygenase dimer.small subunit",rubisco_small_subunit,
PS.calvin cycle,calvin_cycle,,calvin cycle,calvin_cycle,
 CHO metabolism,CHO_metabolism,,Carbohydrate metabolism,CHO_metabolism,
'glycolysis,glycolysis,,cytosolic glycolysis,cytosolic_glycolysis,
'TCA / org transformation,TCA_org_transformation,,tricarboxylic acid cycle,TCA_cycle,
'mitochondrial electron transport / ATP synthesis,mitochondrial_electron_transport_ATP_synthesis,,oxidative phosphorylation,oxidative_phosphorylation,
lipid metabolism,lipid_metabolism,,Lipid metabolism,lipid_metabolism,
secondary metabolism,secondary_metabolism,,Secondary metabolism,secondary_metabolism,
hormone metabolism,hormone_metabolism,,Phytohormones,phytohormones,
'stress,stress,,,,
stress.biotic,stress.biotic,,,,
stress.abiotic.heat,stress.abiotic.heat,,Environmental stimuli response.temperature,temperature_response,
stress.abiotic,stress.abiotic,,,,
,,,'Environmental stimuli response.drought',drought_response,
,,,'Environmental stimuli response.pathogen-associated molecular pattern (PAMP)',pathogen_response,
'redox,redox,,Reactive oxygen metabolism,reactive_O2_metabolism,
glutathione S transferases,glutathione_S_transferases,,ROS-scavenging mechanisms.glutathione S-transferase activities,glutathione_S_transferases,
polyamine metabolism,polyamine_metabolism,,Polyamine metabolism,,
'RNA,RNA,,RNA biosynthesis,RNA_biosynthesis,
,,,RNA processing,RNA_processing,
,,,Nucleotide metabolism,nucleotide_metabolism,
,,,Chromatin assembly and remodeling,chromatin_assesmbly_remodeling,
'DNA,DNA,,DNA damage response,DNA_damage_response,
,,,Protein biosynthesis,protein_biosynthesis,
'protein.folding,protein.folding,,Protein modification,protein_modification,
'protein,protein,,Protein degradation,protein_degradation,
'signalling,signalling,,,,
'cell wall,cell_wall,,Cell wall,cell_wall,
