batch_number,extraction_number,sample_number,species_field,species_confirmed,Latitude,Longitude,Elevation_GPS_notebook,Elevation_map,family,leaf_age,biological_rep,site,site_revised,date,leaf_FW_check,whole_leaf_FW,tech_rep_1_FW,tech_rep_2_FW,tech_rep_3_FW,WRONGtech_rep_4_FW,WRONGtech_rep_4_DW,tech_rep_4_FW,tech_rep_4_DW,whole_leaf_area(cm2),whole_leaf_area_per_whole_leaf_FW(cm2/g),tech_rep_1_leaf_area,tech_rep_2_leaf_area,tech_rep_3_leaf_area,tech_rep_4_leaf_area,technical_rep_used_for_ovalbumin_calculation,ovalbumin_added(5uL_of_0.5mg/mL_per_cm2),random_number,notes,I don't know why these numbers are here,"Protein Extract Concentration (protein assay, ug/uL)",Protein Assay %CV,Protein Extract Volume (uL),"Extract Protein Amount (ug, protein assay)","Protein per FW (mg/g, protein assay)","Protein per DW (mg/g, protein assay)","Protein per Leaf Area (mg/cm2, protein assay)",%Ovalbumin of Total Protein,"Digest Protein Amount (ug)
",Amount Protease in Digest (ug),uL Protein Extract per Digest,Date of ASPEX,ASPEX Batch,LWC,LMA
,,KG001,acauli,acauli,-33.6933,151.14541,,,Mimosaceae,sen,1,Kuringai_MT_top,NSW_Kuringai_top,140529,-0.30736,,0.05228,0.05316,0.05124,0.15068,0.11188,0.15068,0.11188,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,#DIV/0!,,,,,,,,,,,,,,,,,0.257499336,NA
,,KG002,,,,,,,,,,Kuringai_MT_top,NSW_Kuringai_top,,0.00000,,,,,,,0,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,#DIV/0!,,NOT USED,,,,,,,,,,,,,,,NA,NA
21,21-03,KG003,acauli,acauli,-33.6933,151.14541,,,Mimosaceae,old,1,Kuringai_MT_top,NSW_Kuringai_top,140529,-0.34344,,0.05760,0.05344,0.05078,0.18162,0.0947,0.18162,0.0947,,#DIV/0!,#DIV/0!,1.208,#DIV/0!,#DIV/0!,2,6.0,0.882273615,,,,,,,,,,,,,,,,0.478581654,NA
17,17-13,KG004,acauli,acauli,-33.6933,151.14541,,,Mimosaceae,mid,1,Kuringai_MT_top,NSW_Kuringai_top,140529,-0.46902,,0.06004,0.05916,0.06404,0.28578,0.14646,0.28578,0.14646,,#DIV/0!,#DIV/0!,1.398,#DIV/0!,#DIV/0!,2,7.0,0.232024745,,,,,,,,,,,,,,,,0.487507873,NA
21,21-46,KG005,acauli,acauli,-33.6933,151.14541,,,Mimosaceae,new,1,Kuringai_MT_top,NSW_Kuringai_top,140529,-0.58942,,0.06116,0.07028,0.08866,0.36932,0.17146,0.36932,0.17146,,#DIV/0!,#DIV/0!,1.566,#DIV/0!,#DIV/0!,2,7.8,0.36377492,,,,,,,,,,,,,,,,0.535741363,NA
20,20-30,KG006,acauli,acauli,-33.6933,151.14541,,,Mimosaceae,old,2,Kuringai_MT_top,NSW_Kuringai_top,140603,-0.56956,,0.08018,0.07558,0.09480,0.31900,0.16016,0.319,0.16016,,#DIV/0!,#DIV/0!,1.666,#DIV/0!,#DIV/0!,2,8.3,0.808338819,,,,,,,,,,,,,,,,0.497931034,NA
18,18-15,KG007,acauli,acauli,-33.6933,151.14541,,,Mimosaceae,mid,2,Kuringai_MT_top,NSW_Kuringai_top,140603,-0.49658,,0.09418,0.09330,0.09614,0.21296,0.10196,0.21296,0.10196,,#DIV/0!,#DIV/0!,2.178,#DIV/0!,#DIV/0!,2,10.9,0.431264782,,,,,,,,,,,,,,,,0.521224643,NA
17,17-39,KG008,acauli,acauli,-33.6933,151.14541,,,Mimosaceae,new,2,Kuringai_MT_top,NSW_Kuringai_top,140603,-0.48686,,0.08200,0.08030,0.08352,0.24104,0.1052,0.24104,0.1052,,#DIV/0!,#DIV/0!,1.939,#DIV/0!,#DIV/0!,2,9.7,0.344926406,,,,,,,,,,,,,,,,0.563557916,NA
,,KG009,haklae,haklae,-33.6933,151.14541,,,Proteaceae,sen,1,Kuringai_MT_top,NSW_Kuringai_top,140603,0.00414,0.69174,0.06428,0.07220,0.06142,0.48970,0.45026,0.4897,0.45026,,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,0.080539106,NA
30,30-29,KG010,haklae,haklae,-33.6933,151.14541,,,Proteaceae,old,1,Kuringai_MT_top,NSW_Kuringai_top,140603,0.00492,0.65994,0.07600,0.07630,0.05616,0.44656,0.2811,0.44656,0.2811,,0,0,0,0,0,2,0.0,0.948004473,,,,,,,,,,,,,,,,0.370521319,NA
